Código,Descripción,Cantidad,Formato,Costo de Compra,Precio de Venta
100,BAT.  HELIAR  65 AH.  E  TA65NE.,9,PZA,0,840.0
101,BAT.  HELIAR  65 AH.  D  TA65ND.,21,PZA,0,840.0
102,BAT.  HELIAR  70 AH.  D  F70ND  BLAN.,6,PZA,0,860.0
103,BAT.  HELIAR  75 AH.  E  F75LE.  NOR.  JAPON.,0,PZA,0,635.2999877929688
104,BAT.  HELIAR  75 AH.  D  F75LD.  NOR.  JAPON.,0,PZA,0,635.2999877929688
105,ACEIT.  YPFB  20W50   GAL.  GAS.,676,PZA,0,100.0
106,ACEIT.  YPFB  20W50   GAL.  DIESEL  PLUS,44,PZA,0,100.0
107,ACEIT.  YPFB  15W40   GAL.  DIESEL  TURBO.,125,PZA,0,120.0
108,ACEIT.  YPFB  40   GAL.  DIESEL.,16,PZA,0,100.0
109,ACEIT.  YPFB  40   GAL.  GAS.,184,PZA,0,95.0
110,ACEIT.  YPFB  40   GAS.  LITRO.,188,PZA,0,28.0
116,ACEIT.  CASTROL  10W40  GAS.  GAL.,50,PZA,0,180.0
117,ACEIT.  CASTROL  10W40  GAS.  LITRO.,25,PZA,0,45.0
118,ACEIT.  CASTROL  20W50  GAS.  LITRO.,119,PZA,0,50.0
119,ACEIT.  XCEL  15W40   GAS.  GAL.,146,PZA,0,140.0
120,ACEIT.  XCEL  10W40   GAS.  GAL.,10,PZA,0,140.0
121,BUL.  ACEIT.  DREIK  ACEIT.  DOP1130  10020  30030. TAIW.,124,PZA,0,19.0
122,ACEIT.  XCEL  80W90     LITRO  GL-5.,97,PZA,0,38.0
123,LIQ.  HIDRAUL.  DEXT.III. D/M EMB. NEG. VERDE.,0,PZA,0,30.0
124,LIQ.  HIDRAUL.  XCEL  TYPE A LITRO.,0,PZA,0,20.0
125,LIQ.  HIDRAUL.  GOL-DEN ATF LITRO  ROJO.,151,PZA,0,25.0
126,LIQ.  HIDRAUL.  GUNK  354 ML. DIR.  AMAR.,2,PZA,0,33.0
127,CINTURON  PLAST.  5X250   NEGRO.,83,PZA,0,1.200000047683716
133,ANTIC.  VISTON.  GAL.  AMARILL  CONCEN.,0,PZA,0,130.0
134,ANTIC.  VISTON.  GAL.  AZUL  REFREG.,11,PZA,0,75.0
135,ANTIC.  VISTON.  LITR.  AMARILL.  CONCEN.,43,PZA,0,45.0
136,ANTIC.  VISTON.  LITR.  AZUL   REFRE.,26,PZA,0,25.0
137,ANTIC.  VISTON.  LITR.  VERDE  OXITAN.,35,PZA,0,22.0
138,ANTIC.  PRESTONE  GAL.  AMRILL. DERECTO.,0,PZA,0,105.0
139,ANTIC.  PRESTONE  LITR.  AMAR.  CONC.,-1,PZA,0,48.0
140,SILIC.  STP  295ML  TABL.,181,PZA,0,25.0
